x,y,hate,y
a55,-100,"uncivilised',",-10
a55hole,-100,"'gypo',",-10
aeolus,-100,"'gypos',",-10
ahole,-100,"'cunt',",-10
anal,-100,"'cunts',",-10
analprobe,-100,"'peckerwood',",-10
anilingus,-100,"'peckerwoods',",-10
anus,-100,"'raghead',",-10
areola,-100,"'ragheads',",-10
areole,-100,"'cripple',",-10
arian,-100,"'cripples',",-10
aryan,-100,"'niggur',",-10
ass,-100,"'niggurs',",-10
assbang,-100,"'yellow bone',",-10
assbanged,-100,"'yellow bones',",-10
assbangs,-100,"'muzzie',",-10
asses,-100,"'muzzies',",-10
assfuck,-100,"'niggar',",-10
assfucker,-100,"'niggars',",-10
assh0le,-100,"'nigger',",-10
asshat,-100,"'niggers',",-10
assho1e,-100,"'greaseball',",-10
ass hole,-100,"'greaseballs',",-10
assholes,-100,"'white trash',",-10
assmaster,-100,"'white trashes',",-10
assmunch,-100,"'nig nog',",-10
asswipe,-100,"'nig nogs',",-10
asswipes,-100,"'faggot',",-10
azazel,-100,"'faggots',",-10
azz,-100,"'cotton picker',",-10
b1tch,-100,"'cotton pickers',",-10
babe,-100,"'darkie',",-10
babes,-100,"'darkies',",-10
ballsack,-100,"'hoser',",-10
bang,-100,"'hosers',",-10
banger,-100,"'Uncle Tom',",-10
barf,-100,"'Uncle Toms',",-10
bastard,-100,"'Jihadi',",-10
bastards,-100,"'Jihadis',",-10
bawdy,-100,"'retard',",-10
beaner,-100,"'retards',",-10
beardedclam,-100,"'hillbilly',",-10
beastiality,-100,"'hillbillies',",-10
beatch,-100,"'fag',",-10
beater,-100,"'fags',",-10
beaver,-100,"'trailer trash',",-10
beer,-100,"'trailer trashes',",-10
beeyotch,-100,"'pikey',",-10
beotch,-100,"'pikies',",-10
biatch,-100,"'nicca',",-10
bigtits,-100,"'niccas',",-10
big tits,-100,"'tranny',",-10
bimbo,-100,"'trannies',",-10
bitch,-100,"'porch monkey',",-10
bitched,-100,"'porch monkies',",-10
bitches,-100,"'wigger',",-10
bitchy,-100,"'wiggers',",-10
blow job,-100,"'wetback',",-10
blow,-100,"'wetbacks',",-10
blowjob,-100,"'nigglet',",-10
blowjobs,-100,"'nigglets',",-10
bod,-100,"'wigga',",-10
bodily,-100,"'wiggas',",-10
boink,-100,"'dhimmi',",-10
bollock,-100,"'dhimmis',",-10
bollocks,-100,"'honkey',",-10
bollok,-100,"'honkies',",-10
bone,-100,"'eurotrash',",-10
boned,-100,"'eurotrashes',",-10
boner,-100,"'yardie',",-10
boners,-100,"'yardies',",-10
bong,-100,"'trailer park trash',",-10
boob,-100,"'trailer park trashes',",-10
boobies,-100,"'niggah',",-10
boobs,-100,"'niggahes',",-10
booby,-100,"'yokel',",-10
booger,-100,"'yokels',",-10
bookie,-100,"'nigguh',",-10
bootee,-100,"'nigguhes',",-10
bootie,-100,"'camel jockey',",-10
booty,-100,"'camel jockies',",-10
booze,-100,"'honkie',",-10
boozer,-100,"'niglet',",-10
boozy,-100,"'niglets',",-10
bosom,-100,"'gyppo',",-10
bosomy,-100,"'gyppos',",-10
bowel,-100,"'dyke',",-10
bowels,-100,"'dykes',",-10
bra,-100,"'half breed',",-10
brassiere,-100,"'honky',",-10
breast,-100,"'race traitor',",-10
breasts,-100,"'race traitors',",-10
bugger,-100,"'jiggaboo',",-10
bukkake,-100,"'jiggaboos',",-10
bullshit,-100,"'Chinaman',",-10
bull shit,-100,"'Chinamans',",-10
bullshits,-100,"'curry muncher',",-10
bullshitted,-100,"'curry munchers',",-10
bullturds,-100,"'jungle bunny',",-10
bung,-100,"'jungle bunnies',",-10
busty,-100,"'coon ass',",-10
butt,-100,"'coon asses',",-10
butt fuck,-100,"'newfie',",-10
buttfuck,-100,"'newfies',",-10
buttfucker,-100,"'house nigger',",-10
buttplug,-100,"'house niggers',",-10
c.0.c.k,-100,"'limey',",-10
c.o.c.k.,-100,"'limies',",-10
c.u.n.t,-100,"'red bone',",-10
c0ck,-100,"'red bones',",-10
c-0-c-k,-100,"'guala',",-10
caca,-100,"'gualas',",-10
cahone,-100,"'plastic paddy',",-10
cameltoe,-100,"'plastic paddies',",-10
carpetmuncher,-100,"'whigger',",-10
cawk,-100,"'whiggers',",-10
cervix,-100,"'jigaboo',",-10
chinc,-100,"'jigaboos',",-10
chincs,-100,"'nig',",-10
chink,-100,"'nigs',",-10
chode,-100,"'Zionazi',",-10
chodes,-100,"'Zionazis',",-10
cl1t,-100,"'spear chucker',",-10
climax,-100,"'spear chuckers',",-10
clit,-100,"'niggress',",-10
clitoris,-100,"'niggresses',",-10
clitorus,-100,"'yobbo',",-10
clits,-100,"'yobbos',",-10
clitty,-100,"'border jumper',",-10
cocain,-100,"'border jumpers',",-10
cocaine,-100,"'sperg',",-10
cock,-100,"'spergs',",-10
c-o-c-k,-100,"'pommy',",-10
cockblock,-100,"'pommies',",-10
cockholster,-100,"'munter',",-10
cockknocker,-100,"'munters',",-10
cocks,-100,"'tar baby',",-10
cocksmoker,-100,"'tar babies',",-10
cocksucker,-100,"'pommie',",-10
cock sucker,-100,"'gyp',",-10
coital,-100,"'gyps',",-10
commie,-100,"'anchor baby',",-10
condom,-100,"'anchor babies',",-10
coon,-100,"'twat',",-10
coons,-100,"'twats',",-10
corksucker,-100,"'border hopper',",-10
crabs,-100,"'border hoppers',",-10
crack,-100,"'queer',",-10
cracker,-100,"'queers',",-10
crackwhore,-100,"'darky',",-10
crap,-100,"'ching chong',",-10
crappy,-100,"'ching chongs',",-10
cum,-100,"'khazar',",-10
cummin,-100,"'khazars',",-10
cumming,-100,"'gippo',",-10
cumshot,-100,"'gippos',",-10
cumshots,-100,"'skanger',",-10
cumslut,-100,"'skangers',",-10
cumstain,-100,"'beaner',",-10
cunilingus,-100,"'beaners',",-10
cunnilingus,-100,"'quadroon',",-10
cunny,-100,"'quadroons',",-10
cunt,-100,"'gator bait',",-10
c-u-n-t,-100,"'gator baits',",-10
cuntface,-100,"'Cushite',",-10
cunthunter,-100,"'Cushites',",-10
cuntlick,-100,"'mud shark',",-10
cuntlicker,-100,"'mud sharks',",-10
cunts,-100,"'cracker',",-10
d0ng,-100,"'crackers',",-10
d0uch3,-100,"'dune coon',",-10
d0uche,-100,"'dune coons',",-10
d1ck,-100,"'pickaninny',",-10
d1ld0,-100,"'pickaninnies',",-10
d1ldo,-100,"'slant eye',",-10
dago,-100,"'slant eyes',",-10
dagos,-100,"'sideways vagina',",-10
dammit,-100,"'sideways vaginas',",-10
damn,-100,"'hick',",-10
damned,-100,"'hicks',",-10
damnit,-100,"'camel fucker',",-10
dawgie-style,-100,"'camel fuckers',",-10
dick,-100,"'redneck',",-10
dickbag,-100,"'rednecks',",-10
dickdipper,-100,"'spiv',",-10
dickface,-100,"'spivs',",-10
dickflipper,-100,"'zipperhead',",-10
dickhead,-100,"'zipperheads',",-10
dickheads,-100,"'Kushite',",-10
dickish,-100,"'Kushites',",-10
dick-ish,-100,"'Shylock',",-10
dickripper,-100,"'Shylocks',",-10
dicksipper,-100,"'gook',",-10
dickweed,-100,"'gooks',",-10
dickwhipper,-100,"'papist',",-10
dickzipper,-100,"'papists',",-10
diddle,-100,"'hymie',",-10
dike,-100,"'hymies',",-10
dildo,-100,"'wog',",-10
dildos,-100,"'wogs',",-10
diligaf,-100,"'scally',",-10
dillweed,-100,"'scallies',",-10
dimwit,-100,"'coon',",-10
dingle,-100,"'coons',",-10
dipship,-100,"'whitey',",-10
doggie-style,-100,"'whities',",-10
doggy-style,-100,"'nigette',",-10
dong,-100,"'nigettes',",-10
doofus,-100,"'paki',",-10
doosh,-100,"'pakis',",-10
dopey,-100,"'towel head',",-10
douch3,-100,"'towel heads',",-10
douche,-100,"'Argie',",-10
douchebag,-100,"'Argies',",-10
douchebags,-100,"'wexican',",-10
douchey,-100,"'wexicans',",-10
drunk,-100,"'jigger',",-10
dumass,-100,"'jiggers',",-10
dumbass,-100,"'injun',",-10
dumbasses,-100,"'injuns',",-10
dummy,-100,"'ocker',",-10
dyke,-100,"'ockers',",-10
dykes,-100,"'polack',",-10
ejaculate,-100,"'polacks',",-10
enlargement,-100,"'moulie',",-10
erect,-100,"'moulies',",-10
erection,-100,"'niggor',",-10
erotic,-100,"'niggors',",-10
essohbee,-100,"'scanger',",-10
extacy,-100,"'scangers',",-10
extasy,-100,"'ofay',",-10
f.u.c.k,-100,"'ofaies',",-10
fack,-100,"'jigga',",-10
fag,-100,"'jiggas',",-10
fagg,-100,"'redskin',",-10
fagged,-100,"'redskins',",-10
faggit,-100,"'chonky',",-10
faggot,-100,"'chonkies',",-10
fagot,-100,"'hebro',",-10
fags,-100,"'hebros',",-10
faig,-100,"'wop',",-10
faigt,-100,"'wops',",-10
fannybandit,-100,"'chink',",-10
fart,-100,"'chinks',",-10
fartknocker,-100,"'sideways pussy',",-10
fat,-100,"'sideways pussies',",-10
felch,-100,"'paleface',",-10
felcher,-100,"'palefaces',",-10
felching,-100,"'wagon burner',",-10
fellate,-100,"'wagon burners',",-10
fellatio,-100,"'nigra',",-10
feltch,-100,"'nigras',",-10
feltcher,-100,"'spic',",-10
fisted,-100,"'spics',",-10
fisting,-100,"'jocky',",-10
fisty,-100,"'jockies',",-10
floozy,-100,"'kraut',",-10
foad,-100,"'krauts',",-10
fondle,-100,"'steek',",-10
foobar,-100,"'steeks',",-10
foreskin,-100,"'coolie',",-10
freex,-100,"'coolies',",-10
frigg,-100,"'gooky',",-10
frigga,-100,"'gookies',",-10
fubar,-100,"'octaroon',",-10
fuck,-100,"'octaroons',",-10
f-u-c-k,-100,"'bint',",-10
fuckass,-100,"'bints',",-10
fucked,-100,"'shit heel',",-10
fucker,-100,"'shit heels',",-10
fuckface,-100,"'squaw',",-10
fuckin,-100,"'squaws',",-10
fucking,-100,"'bog trotter',",-10
fucknugget,-100,"'bog trotters',",-10
fucknut,-100,"'Oriental',",-10
fuckoff,-100,"'Orientals',",-10
fucks,-100,"'halfrican',",-10
fucktard,-100,"'halfricans',",-10
fuck-tard,-100,"'paddy',",-10
fuckup,-100,"'paddies',",-10
fuckwad,-100,"'groid',",-10
fuckwit,-100,"'groids',",-10
fudgepacker,-100,"'jiggabo',",-10
fuk,-100,"'jiggabos',",-10
fvck,-100,"'jigg',",-10
fxck,-100,"'jiggs',",-10
gae,-100,"'jant',",-10
gai,-100,"'jants',",-10
ganja,-100,"'spide',",-10
gay,-100,"'spides',",-10
gays,-100,"'camel humper',",-10
gey,-100,"'camel humpers',",-10
gfy,-100,"'white nigger',",-10
ghay,-100,"'white niggers',",-10
ghey,-100,"'ZOG',",-10
gigolo,-100,"'ZOGs',",-10
glans,-100,"'diaper head',",-10
goatse,-100,"'diaper heads',",-10
godamn,-100,"'heeb',",-10
godamnit,-100,"'heebs',",-10
goddam,-100,"'Christ killer',",-10
goddammit,-100,"'Christ killers',",-10
goddamn,-100,"'piker',",-10
goldenshower,-100,"'pikers',",-10
gonad,-100,"'higger',",-10
gonads,-100,"'higgers',",-10
gook,-100,"'lemonhead',",-10
gooks,-100,"'lemonheads',",-10
gringo,-100,"'Hun',",-10
gspot,-100,"'Huns',",-10
g-spot,-100,"'popolo',",-10
gtfo,-100,"'popolos',",-10
guido,-100,"'cowboy killer',",-10
h0m0,-100,"'cowboy killers',",-10
h0mo,-100,"'jhant',",-10
handjob,-100,"'jhants',",-10
hard on,-100,"'eyetie',",-10
he11,-100,"'eyeties',",-10
hebe,-100,"'mockey',",-10
heeb,-100,"'mockies',",-10
hell,-100,"'alligator bait',",-10
hemp,-100,"'alligator baits',",-10
heroin,-100,"'Jap',",-10
herp,-100,"'Japs',",-10
herpes,-100,"'shanty Irish',",-10
herpy,-100,"'shanty Irishes',",-10
hitler,-100,"'redlegs',",-10
hiv,-100,"'mulignan',",-10
hobag,-100,"'mulignans',",-10
hom0,-100,"'jockie',",-10
homey,-100,"'mangia cake',",-10
homo,-100,"'mangia cakes',",-10
homoey,-100,"'moulinyan',",-10
honky,-100,"'moulinyans',",-10
hooch,-100,"'nigar',",-10
hookah,-100,"'nigars',",-10
hooker,-100,"'darkey',",-10
hoor,-100,"'gurrier',",-10
hootch,-100,"'gurriers',",-10
hooter,-100,"'lubra',",-10
hooters,-100,"'lubras',",-10
horny,-100,"'Buckwheat',",-10
hump,-100,"'Buckwheats',",-10
humped,-100,"'mulato',",-10
humping,-100,"'mulatos',",-10
hussy,-100,"'prairie nigger',",-10
hymen,-100,"'prairie niggers',",-10
inbred,-100,"'kyke',",-10
incest,-100,"'kykes',",-10
injun,-100,"'boonie',",-10
j3rk0ff,-100,"'boonies',",-10
jackass,-100,"'mick',",-10
jackhole,-100,"'micks',",-10
jackoff,-100,"'bluegum',",-10
jap,-100,"'bluegums',",-10
japs,-100,"'spigger',",-10
jerk,-100,"'spiggers',",-10
jerk0ff,-100,"'border bunny',",-10
jerked,-100,"'border bunnies',",-10
jerkoff,-100,"'kike',",-10
jism,-100,"'kikes',",-10
jiz,-100,"'moulignon',",-10
jizm,-100,"'moulignons',",-10
jizz,-100,"'roundeye',",-10
jizzed,-100,"'roundeyes',",-10
junkie,-100,"'ginzo',",-10
junky,-100,"'ginzos',",-10
kike,-100,"'Jewbacca',",-10
kikes,-100,"'Jewbaccas',",-10
kill,-100,"'booner',",-10
kinky,-100,"'booners',",-10
kkk,-100,"'nigre',",-10
klan,-100,"'nigres',",-10
knobend,-100,"'scallie',",-10
kooch,-100,"'niger',",-10
kooches,-100,"'nigers',",-10
kootch,-100,"'dinge',",-10
kraut,-100,"'dinges',",-10
kyke,-100,"'Leb',",-10
labia,-100,"'Lebs',",-10
lech,-100,"'Lebbo',",-10
leper,-100,"'Lebbos',",-10
lesbians,-100,"'sambo',",-10
lesbo,-100,"'sambos',",-10
lesbos,-100,"'Africoon',",-10
lez,-100,"'Africoons',",-10
lezbian,-100,"'ling ling',",-10
lezbians,-100,"'ling lings',",-10
lezbo,-100,"'gub',",-10
lezbos,-100,"'gubs',",-10
lezzie,-100,"'banana bender',",-10
lezzies,-100,"'banana benders',",-10
lezzy,-100,"'japie',",-10
lmao,-100,"'japies',",-10
lmfao,-100,"'island nigger',",-10
loin,-100,"'island niggers',",-10
loins,-100,"'hairyback',",-10
lube,-100,"'hairybacks',",-10
lusty,-100,"'lugan',",-10
mams,-100,"'lugans',",-10
massa,-100,"'Bog Irish',",-10
masterbate,-100,"'Bog Irishes',",-10
masterbating,-100,"'blaxican',",-10
masterbation,-100,"'blaxicans',",-10
masturbate,-100,"'moke',",-10
masturbating,-100,"'mokes',",-10
masturbation,-100,"'nigor',",-10
maxi,-100,"'nigors',",-10
menses,-100,"'bix nood',",-10
menstruate,-100,"'bix noods',",-10
menstruation,-100,"'Kushi',",-10
meth,-100,"'Kushis',",-10
m-fucking,-100,"'guala guala',",-10
mofo,-100,"'guala gualas',",-10
molest,-100,"'hoosier',",-10
moolie,-100,"'hoosiers',",-10
moron,-100,"'thicklips',",-10
motherfucka,-100,"'mook',",-10
motherfucker,-100,"'mooks',",-10
motherfucking,-100,"'muk',",-10
mtherfucker,-100,"'muks',",-10
mthrfucker,-100,"'soup taker',",-10
mthrfucking,-100,"'soup takers',",-10
muff,-100,"'senga',",-10
muffdiver,-100,"'sengas',",-10
murder,-100,"'Cushi',",-10
muthafuckaz,-100,"'Cushis',",-10
muthafucker,-100,"'pogue',",-10
mutherfucker,-100,"'pogues',",-10
mutherfucking,-100,"'abo',",-10
muthrfucking,-100,"'abos',",-10
nad,-100,"'ping pang',",-10
nads,-100,"'ping pangs',",-10
naked,-100,"'proddy dog',",-10
napalm,-100,"'proddy dogs',",-10
nappy,-100,"'boong',",-10
nazi,-100,"'boongs',",-10
nazism,-100,"'dago',",-10
negro,-100,"'dagos',",-10
nigga,-100,"'dogun',",-10
niggah,-100,"'doguns',",-10
niggas,-100,"'mocky',",-10
niggaz,-100,"'poppadom',",-10
nigger,-100,"'poppadoms',",-10
niggers,-100,"'Gwat',",-10
niggle,-100,"'Gwats',",-10
niglet,-100,"'ice nigger',",-10
nimrod,-100,"'ice niggers',",-10
ninny,-100,"'spook',",-10
nipple,-100,"'spooks',",-10
nooky,-100,"'Afro-Saxon',",-10
nympho,-100,"'Afro-Saxons',",-10
opiate,-100,"'guido',",-10
opium,-100,"'guidos',",-10
oral,-100,"'latrino',",-10
orally,-100,"'latrinos',",-10
organ,-100,"'lowlander',",-10
orgasm,-100,"'lowlanders',",-10
orgasmic,-100,"'mockie',",-10
orgies,-100,"'moky',",-10
orgy,-100,"'mokies',",-10
ovary,-100,"'mosshead',",-10
ovum,-100,"'mossheads',",-10
ovums,-100,"'African catfish',",-10
p.u.s.s.y.,-100,"'African catfishes',",-10
paddy,-100,"'gyppy',",-10
paki,-100,"'gyppies',",-10
pantie,-100,"'timber nigger',",-10
panties,-100,"'timber niggers',",-10
panty,-100,"'Americoon',",-10
pastie,-100,"'Americoons',",-10
pasty,-100,"'camel cowboy',",-10
pcp,-100,"'camel cowboies',",-10
pecker,-100,"'eh hole',",-10
pedo,-100,"'eh holes',",-10
pedophile,-100,"'Hunyak',",-10
pedophilia,-100,"'Hunyaks',",-10
pedophiliac,-100,"'slopehead',",-10
pee,-100,"'slopeheads',",-10
peepee,-100,"'teabagger',",-10
penetrate,-100,"'teabaggers',",-10
penetration,-100,"'Armo',",-10
penial,-100,"'Armos',",-10
penile,-100,"'bitch',",-10
penis,-100,"'bitches',",-10
perversion,-100,"'greaser',",-10
peyote,-100,"'greasers',",-10
phalli,-100,"'Honyock',",-10
phallic,-100,"'Honyocks',",-10
phuck,-100,"'mud person',",-10
pillowbiter,-100,"'mud persons',",-10
pimp,-100,"'pineapple nigger',",-10
pinko,-100,"'pineapple niggers',",-10
piss,-100,"'retarded',",-10
pissed,-100,"'semihole',",-10
pissoff,-100,"'semiholes',",-10
piss-off,-100,"'Amo',",-10
pms,-100,"'Amos',",-10
polack,-100,"'border nigger',",-10
pollock,-100,"'border niggers',",-10
poon,-100,"'buckra',",-10
poontang,-100,"'buckras',",-10
porn,-100,"'burrhead',",-10
porno,-100,"'burrheads',",-10
pornography,-100,"'cab nigger',",-10
pot,-100,"'cab niggers',",-10
potty,-100,"'carpet pilot',",-10
prick,-100,"'carpet pilots',",-10
prig,-100,"'pancake face',",-10
prostitute,-100,"'pancake faces',",-10
prude,-100,"'spigotty',",-10
pube,-100,"'spigotties',",-10
pubic,-100,"'carrot snapper',",-10
pubis,-100,"'carrot snappers',",-10
punkass,-100,"'chili shitter',",-10
punky,-100,"'chili shitters',",-10
puss,-100,"'curry slurper',",-10
pussies,-100,"'curry slurpers',",-10
pussy,-100,"'ghetto hamster',",-10
pussypounder,-100,"'ghetto hamsters',",-10
puto,-100,"'ice monkey',",-10
queaf,-100,"'ice monkies',",-10
queef,-100,"'roofucker',",-10
queer,-100,"'roofuckers',",-10
queero,-100,"'Velcro head',",-10
queers,-100,"'Velcro heads',",-10
quicky,-100,"'wiggerette',",-10
quim,-100,"'wiggerettes',",-10
racy,-100,"'beach nigger',",-10
rape,-100,"'beach niggers',",-10
raped,-100,"'bean dipper',",-10
raper,-100,"'bean dippers',",-10
rapist,-100,"'bog hopper',",-10
raunch,-100,"'bog hoppers',",-10
rectal,-100,"'Buddhahead',",-10
rectum,-100,"'Buddhaheads',",-10
rectus,-100,"'camel jacker',",-10
reefer,-100,"'camel jackers',",-10
reetard,-100,"'Caublasian',",-10
reich,-100,"'Caublasians',",-10
retard,-100,"'cave nigger',",-10
retarded,-100,"'cave niggers',",-10
revue,-100,"'cow kisser',",-10
rimjob,-100,"'cow kissers',",-10
ritard,-100,"'dune nigger',",-10
rtard,-100,"'dune niggers',",-10
r-tard,-100,"'four by two',",-10
rum,-100,"'four by twos',",-10
rump,-100,"'fresh off the boat',",-10
rumprammer,-100,"'fresh off the boats',",-10
ruski,-100,"'gin jockey',",-10
s.h.i.t.,-100,"'gin jockies',",-10
s.o.b.,-100,"'golliwog',",-10
s0b,-100,"'golliwogs',",-10
sadism,-100,"'guinea',",-10
sadist,-100,"'guineas',",-10
scag,-100,"'Jim Fish',",-10
scantily,-100,"'Jim Fishes',",-10
schizo,-100,"'mackerel snapper',",-10
schlong,-100,"'mackerel snappers',",-10
screw,-100,"'octroon',",-10
screwed,-100,"'octroons',",-10
scrog,-100,"'pohm',",-10
scrot,-100,"'pohms',",-10
scrote,-100,"'pussy',",-10
scrotum,-100,"'pussies',",-10
scrud,-100,"'Russellite',",-10
scum,-100,"'Russellites',",-10
seaman,-100,"'spice nigger',",-10
seamen,-100,"'spice niggers',",-10
seduce,-100,"'uncivilized',",-10
semen,-100,"'Whipped',",-10
sex,-100,"'albino',",-10
sexual,-100,"'albinos',",-10
sh1t,-100,"'ape',",-10
s-h-1-t,-100,"'apes',",-10
shamedame,-100,"'Aunt Jemima',",-10
shit,-100,"'Aunt Jemimas',",-10
s-h-i-t,-100,"'buckethead',",-10
shite,-100,"'bucketheads',",-10
shiteater,-100,"'Chinese wetback',",-10
shitface,-100,"'Chinese wetbacks',",-10
shithead,-100,"'chug',",-10
shithole,-100,"'chugs',",-10
shithouse,-100,"'curry stinker',",-10
shits,-100,"'curry stinkers',",-10
shitt,-100,"'dyke jumper',",-10
shitted,-100,"'dyke jumpers',",-10
shitter,-100,"'eight ball',",-10
shitty,-100,"'eight balls',",-10
shiz,-100,"'gun burglar',",-10
sissy,-100,"'gun burglars',",-10
skag,-100,"'ikey mo',",-10
skank,-100,"'ikey mos',",-10
slave,-100,"'lawn jockey',",-10
sleaze,-100,"'lawn jockies',",-10
sleazy,-100,"'leprechaun',",-10
slut,-100,"'leprechauns',",-10
slutdumper,-100,"'mutt',",-10
slutkiss,-100,"'mutts',",-10
sluts,-100,"'negro',",-10
smegma,-100,"'negros',",-10
smut,-100,<8a><97><85>negroes<8a><97><c8>,-10
smutty,-100,"'nitchee',",-10
snatch,-100,"'nitchees',",-10
sniper,-100,"'sooty',",-10
snuff,-100,"'sooties',",-10
s-o-b,-100,"'spick',",-10
sodom,-100,"'spicks',",-10
souse,-100,"'tinkard',",-10
soused,-100,"'tinkards',",-10
sperm,-100,"'uncircumcised baboon',",-10
spic,-100,"'uncircumcised baboons',",-10
spick,-100,"'zigabo',",-10
spik,-100,"'zigabos',",-10
spiks,-100,"'abbo',",-10
spooge,-100,"'abbos',",-10
spunk,-100,"'Anglo',",-10
steamy,-100,"'Anglos',",-10
stfu,-100,"'Aunt Jane',",-10
stiffy,-100,"'Aunt Janes',",-10
stoned,-100,"'Aunt Mary',",-10
strip,-100,"'Aunt Maries',",-10
stroke,-100,"'Aunt Sally',",-10
stupid,-100,"'Aunt Sallies',",-10
suck,-100,"'azn',",-10
sucked,-100,"'azns',",-10
sucking,-100,"'bamboo coon',",-10
sumofabiatch,-100,"'bamboo coons',",-10
t1t,-100,"'banana lander',",-10
tampon,-100,"'banana landers',",-10
tard,-100,"'banjo lips',",-10
tawdry,-100,"'bans and cans',",-10
teabagging,-100,"'beaner shnitzel',",-10
teat,-100,"'beaner shnitzels',",-10
terd,-100,"'beaney',",-10
teste,-100,"'beanies',",-10
testee,-100,"'Bengali',",-10
testes,-100,"'Bengalis',",-10
testicle,-100,"'bhrempti',",-10
testis,-100,"'bhremptis',",-10
thrust,-100,"'bird',",-10
thug,-100,"'birds',",-10
tinkle,-100,"'bitter clinger',",-10
tit,-100,"'bitter clingers',",-10
titfuck,-100,"'black Barbie',",-10
titi,-100,"'black Barbies',",-10
tits,-100,"'black dago',",-10
tittiefucker,-100,"'black dagos',",-10
titties,-100,"'blockhead',",-10
titty,-100,"'blockheads',",-10
tittyfuck,-100,"'bog jumper',",-10
tittyfucker,-100,"'bog jumpers',",-10
toke,-100,"'boon',",-10
toots,-100,"'boons',",-10
tramp,-100,"'boonga',",-10
transsexual,-100,"'boongas',",-10
trashy,-100,"'Bounty bar',",-10
tubgirl,-100,"'Bounty bars',",-10
turd,-100,"'boxhead',",-10
tush,-100,"'boxheads',",-10
twat,-100,"'brass ankle',",-10
twats,-100,"'brass ankles',",-10
ugly,-100,"'brownie',",-10
undies,-100,"'brownies',",-10
unwed,-100,"'buffie',",-10
urinal,-100,"'buffies',",-10
urine,-100,"'bug eater',",-10
uterus,-100,"'bug eaters',",-10
uzi,-100,"'buk buk',",-10
vag,-100,"'buk buks',",-10
vagina,-100,"'bumblebee',",-10
valium,-100,"'bumblebees',",-10
viagra,-100,"'bung',",-10
virgin,-100,"'bungs',",-10
vixen,-100,"'bunga',",-10
vodka,-100,"'bungas',",-10
vomit,-100,"'butterhead',",-10
voyeur,-100,"'butterheads',",-10
vulgar,-100,"'can eater',",-10
vulva,-100,"'can eaters',",-10
wad,-100,"'celestial',",-10
wang,-100,"'celestials',",-10
wank,-100,"'Charlie',",-10
wanker,-100,"'Charlies',",-10
wazoo,-100,"'chee chee',",-10
wedgie,-100,"'chee chees',",-10
weed,-100,"'chi chi',",-10
weenie,-100,"'chi chis',",-10
weewee,-100,"'chigger',",-10
weiner,-100,"'chiggers',",-10
weirdo,-100,"'chinig',",-10
wench,-100,"'chinigs',",-10
wetback,-100,"'chink a billy',",-10
wh0re,-100,"'chink a billies',",-10
wh0reface,-100,"'chunky',",-10
whitey,-100,"'chunkies',",-10
whiz,-100,"'clam',",-10
whoralicious,-100,"'clams',",-10
whore,-100,"'clamhead',",-10
whorealicious,-100,"'clamheads',",-10
whored,-100,"'colored',",-10
whoreface,-100,"'coloured',",-10
whorehopper,-100,"'crow',",-10
whorehouse,-100,"'crows',",-10
whores,-100,"'dego',",-10
whoring,-100,"'degos',",-10
wigger,-100,"'dink',",-10
womb,-100,"'dinks',",-10
woody,-100,"'dogan',",-10
wop,-100,"'dogans',",-10
wtf,-100,"'domes',",-10
x-rated,-100,"'dot head',",-10
xxx,-100,"'dot heads',",-10
yeasty,-100,"'eggplant',",-10
yobbo,-100,"'eggplants',",-10
zoophile,-100,"'Fairy',",-10
abbo,-100,"'Fairies',",-10
abo,-100,"'fez',",-10
abortion,-100,"'fezs',",-10
abuse,-100,"'FOB',",-10
addict,-100,"'FOBs',",-10
addicts,-100,"'fog nigger',",-10
