x,y,hate,y
adult,-100,"'fog niggers',",-10
africa,-100,"'fuzzy',",-10
african,-100,"'fuzzies',",-10
alla,-100,"'fuzzy wuzzy',",-10
allah,-100,"'fuzzy wuzzies',",-10
alligatorbait,-100,"'gable',",-10
amateur,-100,"'gables',",-10
american,-100,"'Gerudo',",-10
analannie,-100,"'Gerudos',",-10
analsex,-100,"'gew',",-10
angie,-100,"'gews',",-10
angry,-100,"'ghetto',",-10
arab,-100,"'ghettos',",-10
arabs,-100,"'gipp',",-10
argie,-100,"'gipps',",-10
aroused,-100,"'gook eye',",-10
arse,-100,"'gook eyes',",-10
arsehole,-100,"'gyppie',",-10
asian,-100,"'heinie',",-10
assassin,-100,"'heinies',",-10
assassinate,-100,"'ho',",-10
assassination,-100,"'hos',",-10
assault,-100,"'hoe',",-10
assbagger,-100,"'hoes',",-10
assblaster,-100,"'Honyak',",-10
assclown,-100,"'Honyaks',",-10
asscowboy,-100,"'Hunkie',",-10
asshole,-100,"'Hunkies',",-10
asshore,-100,"'Hunky',",-10
assjockey,-100,"'Hunyock',",-10
asskiss,-100,"'Hunyocks',",-10
asskisser,-100,"'ike',",-10
assklown,-100,"'ikes',",-10
asslick,-100,"'ikey',",-10
asslicker,-100,"'ikies',",-10
asslover,-100,"'iky',",-10
assman,-100,"'jig',",-10
assmonkey,-100,"'jigs',",-10
assmuncher,-100,"'jigarooni',",-10
asspacker,-100,"'jigaroonis',",-10
asspirate,-100,"'jijjiboo',",-10
asspuppies,-100,"'jijjiboos',",-10
assranger,-100,"'kotiya',",-10
asswhore,-100,"'kotiyas',",-10
athletesfoot,-100,"'mickey',",-10
attack,-100,"'mickies',",-10
australian,-100,"'moch',",-10
babies,-100,"'moches',",-10
backdoor,-100,"'mock',",-10
backdoorman,-100,"'mocks',",-10
backseat,-100,"'mong',",-10
badfuck,-100,"'mongs',",-10
balllicker,-100,"'monkey',",-10
balls,-100,"'monkies',",-10
banging,-100,"'Moor',",-10
baptist,-100,"'Moors',",-10
barelylegal,-100,"'moss eater',",-10
barface,-100,"'moss eaters',",-10
barfface,-100,"'moxy',",-10
bast,-100,"'moxies',",-10
bazongas,-100,"'muktuk',",-10
bazooms,-100,"'muktuks',",-10
beast,-100,"'mung',",-10
beastality,-100,"'mungs',",-10
beastial,-100,"'munt',",-10
beatoff,-100,"'munts',",-10
beat-off,-100,"'ned',",-10
beatyourmeat,-100,"'net head',",-10
bestial,-100,"'net heads',",-10
bestiality,-100,"'nichi',",-10
bi,-100,"'nichis',",-10
bible,-100,"'nichiwa',",-10
bicurious,-100,"'nichiwas',",-10
bigass,-100,"'nidge',",-10
bigbastard,-100,"'nidges',",-10
bigbutt,-100,"'nip',",-10
bigger,-100,"'nips',",-10
bisexual,-100,"'nitchie',",-10
bi-sexual,-100,"'nitchies',",-10
bitcher,-100,"'nitchy',",-10
bitchez,-100,"'Orangie',",-10
bitchin,-100,"'Orangies',",-10
bitching,-100,"'Oreo',",-10
bitchslap,-100,"'Oreos',",-10
biteme,-100,"'papoose',",-10
black,-100,"'papooses',",-10
blackman,-100,"'piky',",-10
blackout,-100,"'pinto',",-10
blacks,-100,"'pintos',",-10
blind,-100,"'pointy head',",-10
boang,-100,"'pointy heads',",-10
bogan,-100,"'pollo',",-10
bohunk,-100,"'pollos',",-10
bollick,-100,"'pom',",-10
bomb,-100,"'poms',",-10
bombers,-100,"'pommie grant',",-10
bombing,-100,"'pommie grants',",-10
bombs,-100,"'Punjab',",-10
bomd,-100,"'Punjabs',",-10
bondage,-100,"'rube',",-10
boody,-100,"'rubes',",-10
boom,-100,"'sawney',",-10
boong,-100,"'sawnies',",-10
boonga,-100,"'scag',",-10
boonie,-100,"'scags',",-10
bootycall,-100,"'seppo',",-10
bountybar,-100,"'seppos',",-10
brea5t,-100,"'septic',",-10
breastjob,-100,"'septics',",-10
breastlover,-100,"'shant',",-10
breastman,-100,"'shants',",-10
brothel,-100,"'sheeny',",-10
buggered,-100,"'sheenies',",-10
buggery,-100,"'sheepfucker',",-10
bullcrap,-100,"'sheepfuckers',",-10
bulldike,-100,"'Shelta',",-10
bulldyke,-100,"'Sheltas',",-10
bumblefuck,-100,"'shiner',",-10
bumfuck,-100,"'shiners',",-10
bunga,-100,"'shit kicker',",-10
bunghole,-100,"'shit kickers',",-10
buried,-100,"'Shy',",-10
burn,-100,"'Shies',",-10
butchbabes,-100,"'sideways cooter',",-10
butchdike,-100,"'sideways cooters',",-10
butchdyke,-100,"'skag',",-10
buttbang,-100,"'skags',",-10
butt-bang,-100,"'Skippy',",-10
buttface,-100,"'Skippies',",-10
butt-fuck,-100,"'slag',",-10
butt-fucker,-100,"'slags',",-10
buttfuckers,-100,"'slant',",-10
butt-fuckers,-100,"'slants',",-10
butthead,-100,"'slit',",-10
buttman,-100,"'slits',",-10
buttmunch,-100,"'slope',",-10
buttmuncher,-100,"'slopes',",-10
buttpirate,-100,"'slopey',",-10
buttstain,-100,"'slopies',",-10
byatch,-100,"'slopy',",-10
cacker,-100,"'smoke jumper',",-10
cameljockey,-100,"'smoke jumpers',",-10
canadian,-100,"'smoked Irish',",-10
cancer,-100,"'smoked Irishes',",-10
carruth,-100,"'smoked Irishman',",-10
catholic,-100,"'smoked Irishmans',",-10
catholics,-100,"'sole',",-10
cemetery,-100,"'soles',",-10
chav,-100,"'spickaboo',",-10
cherrypopper,-100,"'spickaboos',",-10
chickslick,-100,"'spig',",-10
children's,-100,"'spigs',",-10
chin,-100,"'spik',",-10
chinaman,-100,"'spiks',",-10
chinamen,-100,"'spink',",-10
chinese,-100,"'spinks',",-10
chinky,-100,"'squarehead',",-10
choad,-100,"'squareheads',",-10
christ,-100,"'squinty',",-10
christian,-100,"'squinties',",-10
church,-100,"'stovepipe',",-10
cigarette,-100,"'stovepipes',",-10
cigs,-100,"'sub human',",-10
clamdigger,-100,"'sub humans',",-10
clamdiver,-100,"'sucker fish',",-10
clogwog,-100,"'sucker fishes',",-10
cockblocker,-100,"'Taffy',",-10
cockcowboy,-100,"'Taffies',",-10
cockfight,-100,"'teapot',",-10
cockhead,-100,"'teapots',",-10
cockknob,-100,"'tenker',",-10
cocklicker,-100,"'tenkers',",-10
cocklover,-100,"'tincker',",-10
cocknob,-100,"'tinckers',",-10
cockqueen,-100,"'tinkar',",-10
cockrider,-100,"'tinkars',",-10
cocksman,-100,"'tinker',",-10
cocksmith,-100,"'tinkers',",-10
cocksucer,-100,"'tinkere',",-10
cocksuck,-100,"'tinkeres',",-10
cocksucked,-100,"'trash',",-10
cocksucking,-100,"'trashes',",-10
cocktail,-100,"'tree jumper',",-10
cocktease,-100,"'tree jumpers',",-10
cocky,-100,"'tunnel digger',",-10
cohee,-100,"'tunnel diggers',",-10
coitus,-100,"'Twinkie',",-10
color,-100,"'Twinkies',",-10
colored,-100,"'tyncar',",-10
coloured,-100,"'tyncars',",-10
communist,-100,"'tynekere',",-10
conservative,-100,"'tynekeres',",-10
conspiracy,-100,"'tynkard',",-10
coolie,-100,"'tynkards',",-10
cooly,-100,"'tynkare',",-10
coondog,-100,"'tynkares',",-10
copulate,-100,"'tynker',",-10
cornhole,-100,"'tynkers',",-10
corruption,-100,"'tynkere',",-10
cra5h,-100,"'tynkeres',",-10
crackpipe,-100,"'WASP',",-10
crack-whore,-100,"'WASPs',",-10
crapola,-100,"'Yank',",-10
crapper,-100,"'Yanks',",-10
crash,-100,"'Yankee',",-10
creamy,-100,"'Yankees',",-10
crime,-100,"'yellow',",-10
crimes,-100,"'yellows',",-10
criminal,-100,"'yid',",-10
criminals,-100,"'yids',",-10
crotch,-100,"'yob',",-10
crotchjockey,-100,"'yobs',",-10
crotchmonkey,-100,"'zebra',",-10
crotchrot,-100,"'zebras',",-10
cumbubble,-100,"'zippohead',",-10
cumfest,-100,"'zippoheads',",-10
cumjockey,-100,"'ZOG lover',",-10
cumm,-100,"'ZOG lovers<8a><97><c8>,",-10
cummer,-100,"'knacker',",-10
cumquat,-100,"'knackers',",-10
cumqueen,-100,"'shyster',",-10
cunillingus,-100,"'shysters',",-10
cunn,-100,"'bogan',",-10
cunntt,-100,"'bogans',",-10
cunteyed,-100,"'hayseed',",-10
cuntfuck,-100,"'moon cricket',",-10
cuntfucker,-100,"'moon crickets',",-10
cuntlicking,-100,"'mud duck',",-10
cuntsucker,-100,"'mud ducks',",-10
cybersex,-100,"'surrender monkey',",-10
cyberslimer,-100,"'surrender monkies',",-10
dahmer,-100,"'bludger',",-10
damnation,-100,"'bludgers',",-10
darkie,-100,"'charver',",-10
darky,-100,"'charvers',",-10
datnigga,-100,"'dole bludger',",-10
dead,-100,"'dole bludgers',",-10
deapthroat,-100,"'chav',",-10
death,-100,"'chavs',",-10
deepthroat,-100,"'sheister',",-10
defecate,-100,"'sheisters',",-10
dego,-100,"'charva',",-10
demon,-100,"'charvas',",-10
deposit,-100,"'touch of the tar brush',",-10
desire,-100,"'touch of the tar brushes',",-10
destroy,-100,"'Northern monkey',",-10
deth,-100,"'Northern monkies',",-10
devil,-100,"'Southern fairy',",-10
devilworshipper,-100,"'Southern fairies',",-10
dickbrain,-100,"'gubba',",-10
dickforbrains,-100,"'gubbas',",-10
dickless,-100,"'stump jumper',",-10
dicklick,-100,"'stump jumpers',",-10
dicklicker,-100,"'hebe',",-10
dickman,-100,"'hebes',",-10
dickwad,-100,"'millie',",-10
die,-100,"'millies',",-10
died,-100,"'quashie',",-10
dies,-100,"'quashies',",-10
dingleberry,-100,"'dingo fucker',",-10
dink,-100,"'dingo fuckers',",-10
dipshit,-100,"'mil bag',",-10
dipstick,-100,"'mil bags',",-10
dirty,-100,"'conspiracy theorist',",-10
disease,-100,"'conspiracy theorists',",-10
diseases,-100,"'whore from Fife',",-10
disturbed,-100,"'whore from Fifes',",-10
dive,-100,"'boojie',",-10
dix,-100,"'boojies',",-10
dixiedike,-100,"'book book',",-10
dixiedyke,-100,"'book books',",-10
doggiestyle,-100,"'cheese eating surrender monkey',",-10
doggystyle,-100,"'cheese eating surrender monkies',",-10
doodoo,-100,"'idiot',",-10
doo-doo,-100,"'idiots',",-10
doom,-100,"'jock',",-10
dope,-100,"'jocks',",-10
dragqueen,-100,"'mack',",-10
dragqween,-100,"'macks',",-10
dripdick,-100,"'Merkin',",-10
drug,-100,"'Merkins',",-10
drunken,-100,"'neche',",-10
dumb,-100,"'neches',",-10
dumbbitch,-100,"'neejee',",-10
dumbfuck,-100,"'neejees',",-10
dyefly,-100,"'neechee',",-10
easyslut,-100,"'neechees',",-10
eatballs,-100,"'powderburn',",-10
eatme,-100,"'powderburns',",-10
eatpussy,-100,"'proddywhoddy',",-10
ecstacy,-100,"'proddywhoddies',",-10
ejaculated,-100,"'proddywoddy',",-10
ejaculating,-100,"'proddywoddies',",-10
ejaculation,-100,"'Rhine monkey',",-10
enema,-100,Rhine monkies',-10
enemy,-100,allah akbar,-100
ero,-100,blacks,-100
escort,-100,chink,-100
ethiopian,-100,chinks,-100
ethnic,-100,dykes,-100
european,-100,faggot,-100
evl,-100,faggots,-100
excrement,-100,fags,-100
execute,-100,homo,-100
executed,-100,inbred,-100
execution,-100,nigger,-100
executioner,-100,niggers,-100
explosion,-100,queers,-100
facefucker,-100,raped,-100
faeces,-100,savages,-100
fagging,-100,slave,-100
failed,-100,spic,-100
failure,-100,wetback,-100
fairies,-100,wetbacks,-100
fairy,-100,whites,-100
faith,-100,a dirty,-100
fannyfucker,-100,a nigger,-100
farted,-100,all niggers,-100
farting,-100,all white,-100
farty,-100,always fuck,-100
fastfuck,-100,ass white,-100
fatah,-100,be killed,-100
fatass,-100,beat him,-100
fatfuck,-100,biggest faggot,-100
fatfucker,-100,blame the,-100
fatso,-100,butt ugly,-100
fckcum,-100,chink eyed,-100
fear,-100,chinks in,-100
feces,-100,coon shit,-100
felatio,-100,dumb monkey,-100
feltching,-100,dumb nigger,-100
fetish,-100,fag and,-100
fight,-100,fag but,-100
filipina,-100,faggot a,-100
filipino,-100,faggot and,-100
fingerfood,-100,faggot ass,-100
fingerfuck,-100,faggot bitch,-100
fingerfucked,-100,faggot for,-100
fingerfucker,-100,faggot smh,-100
fingerfuckers,-100,faggot that,-100
fingerfucking,-100,faggots and,-100
fire,-100,faggots like,-100
firing,-100,faggots usually,-100
fister,-100,faggots who,-100
fistfuck,-100,fags are,-100
fistfucked,-100,fuckin faggot,-100
fistfucker,-100,fucking faggot,-100
fistfucking,-100,fucking gay,-100
flange,-100,fucking hate,-100
flasher,-100,fucking nigger,-100
flatulence,-100,fucking queer,-100
floo,-100,gay ass,-100
flydie,-100,get raped,-100
flydye,-100,hate all,-100
fok,-100,hate faggots,-100
footaction,-100,hate fat,-100
footfuck,-100,hate you,-100
footfucker,-100,here faggot,-100
footlicker,-100,is white,-100
footstar,-100,jungle bunny,-100
fore,-100,kill all,-100
forni,-100,kill yourself,-100
fornicate,-100,little faggot,-100
foursome,-100,many niggers,-100
fourtwenty,-100,married to,-100
fraud,-100,me faggot,-100
freakfuck,-100,my coon,-100
freakyfucker,-100,nigga ask,-100
freefuck,-100,niggas like,-100
fu,-100,nigger ass,-100
fuc,-100,nigger is,-100
fucck,-100,nigger music,-100
fucka,-100,niggers are,-100
fuckable,-100,of fags,-100
fuckbag,-100,of white,-100
fuckbuddy,-100,raped and,-100
fuckedup,-100,raped by,-100
fuckers,-100,sand nigger,-100
fuckfest,-100,savages that,-100
fuckfreak,-100,shorty bitch,-100
fuckfriend,-100,spear chucker,-100
fuckhead,-100,spic cop,-100
fuckher,-100,stupid nigger,-100
fuckina,-100,that fag,-100
fuckingbitch,-100,that faggot,-100
fuckinnuts,-100,that nigger,-100
fuckinright,-100,the faggots,-100
fuckit,-100,the female,-100
fuckknob,-100,the niggers,-100
fuckme,-100,their heads,-100
fuckmehard,-100,them white,-100
fuckmonkey,-100,then faggot,-100
fuckpig,-100,this nigger,-100
fuckwhore,-100,to rape,-100
fuckyou,-100,trailer park,-100
fugly,-100,trash with,-100
fuks,-100,u fuckin,-100
funeral,-100,ugly dyke,-100
funfuck,-100,up nigger,-100
fungus,-100,white ass,-100
fuuck,-100,white boy,-100
gangbang,-100,white person,-100
gangbanged,-100,white trash,-100
gangbanger,-100,with niggas,-100
gangsta,-100,you fag,-100
gatorbait,-100,you nigger,-100
gaymuthafuckinwhore,-100,you niggers,-100
gaysex,-100,your faggot,-100
geez,-100,your nigger,-100
geezer,-100,a bitch made,-100
geni,-100,a fag and,-100
genital,-100,a fag but,-100
german,-100,a faggot and,-100
getiton,-100,a faggot for,-100
gin,-100,a fucking queer,-100
ginzo,-100,a nigga ask,-100
gipp,-100,a white person,-100
girls,-100,a white trash,-100
givehead,-100,all these fucking,-100
glazeddonut,-100,are all white,-100
gob,-100,be killed for,-100
god,-100,bitch made nigga,-100
godammit,-100,faggots like you,-100
goddamit,-100,faggots usually have,-100
goddamned,-100,fuck outta here,-100
goddamnes,-100,fuck u talking,-100
goddamnit,-100,fuck you too,-100
goddamnmuthafucker,-100,fucking hate you,-100
gonorrehea,-100,full of white,-100
gonzagas,-100,him a nigga,-100
gotohell,-100,his shorty bitch,-100
goy,-100,how many niggers,-100
goyim,-100,is a fag,-100
greaseball,-100,is a faggot,-100
groe,-100,is a fuckin,-100
gross,-100,is a fucking,-100
grostulation,-100,is a nigger,-100
gubba,-100,like a faggot,-100
gummer,-100,like da colored,-100
gun,-100,many niggers are,-100
gyp,-100,nigga and his,-100
gypo,-100,niggers are in,-100
gypp,-100,of white trash,-100
gyppie,-100,shut up nigger,-100
gyppo,-100,still a faggot,-100
gyppy,-100,the biggest faggot,-100
hamas,-100,the faggots who,-100
hapa,-100,the fuck do,-100
harder,-100,they all look,-100
hardon,-100,what a fag,-100
harem,-100,white bitch in,-100
headfuck,-100,white trash and,-100
headlights,-100,you a fag,-100
henhouse,-100,you a lame,-100
heterosexual,-100,you a nigger,-100
hijack,-100,you fuck wit,-100
hijacker,-100,you fucking faggot,-100
hijacking,-100,your a cunt,-100
hillbillies,-100,your a dirty,-100
hindoo,-100,your bitch in,-100
hiscock,-100,a bitch made nigga,-100
hitlerism,-100,a lame nigga you,-100
hitlerist,-100,faggot if you ever,-100
ho,-100,full of white trash,-100
hobo,-100,how many niggers are,-100
hodgie,-100,is full of white,-100
hoes,-100,lame nigga you a,-100
hole,-100,many niggers are in,-100
holestuffer,-100,nigga you a lame,-100
homicide,-100,niggers are in my,-100
homobangers,-100,wit a lame nigga,-100
homosexual,-100,you a lame bitch,-100
honger,-100,you fuck wit a,-100
honk,-100,"uncivilised',",-10
honkers,-100,"'gypo',",-10
honkey,-100,"'gypos',",-10
hook,-100,"'cunt',",-10
hookers,-100,"'cunts',",-10
hore,-100,"'peckerwood',",-10
hork,-100,"'peckerwoods',",-10
horn,-100,"'raghead',",-10
horney,-100,"'ragheads',",-10
horniest,-100,"'cripple',",-10
horseshit,-100,"'cripples',",-10
hosejob,-100,"'niggur',",-10
hoser,-100,"'niggurs',",-10
hostage,-100,"'yellow bone',",-10
hotdamn,-100,"'yellow bones',",-10
hotpussy,-100,"'muzzie',",-10
hottotrot,-100,"'muzzies',",-10
hummer,-100,"'niggar',",-10
husky,-100,"'niggars',",-10
hustler,-100,"'nigger',",-10
hymie,-100,"'niggers',",-10
iblowu,-100,"'greaseball',",-10
idiot,-100,"'greaseballs',",-10
ikey,-100,"'white trash',",-10
illegal,-100,"'white trashes',",-10
insest,-100,"'nig nog',",-10
intercourse,-100,"'nig nogs',",-10
interracial,-100,"'faggot',",-10
intheass,-100,"'faggots',",-10
inthebuff,-100,"'cotton picker',",-10
israel,-100,"'cotton pickers',",-10
israeli,-100,"'darkie',",-10
israel's,-100,"'darkies',",-10
italiano,-100,"'hoser',",-10
itch,-100,"'hosers',",-10
jackshit,-100,"'Uncle Tom',",-10
jacktheripper,-100,"'Uncle Toms',",-10
jade,-100,"'Jihadi',",-10
japanese,-100,"'Jihadis',",-10
japcrap,-100,"'retard',",-10
jebus,-100,"'retards',",-10
jeez,-100,"'hillbilly',",-10
jesus,-100,"'hillbillies',",-10
jesuschrist,-100,"'fag',",-10
jew,-100,"'fags',",-10
jewish,-100,"'trailer trash',",-10
jiga,-100,"'trailer trashes',",-10
jigaboo,-100,"'pikey',",-10
jigg,-100,"'pikies',",-10
jigga,-100,"'nicca',",-10
jiggabo,-100,"'niccas',",-10
jigger,-100,"'tranny',",-10
jiggy,-100,"'trannies',",-10
jihad,-100,"'porch monkey',",-10
jijjiboo,-100,"'porch monkies',",-10
jimfish,-100,"'wigger',",-10
jizim,-100,"'wiggers',",-10
jizjuice,-100,"'wetback',",-10
jizzim,-100,"'wetbacks',",-10
jizzum,-100,"'nigglet',",-10
joint,-100,"'nigglets',",-10
juggalo,-100,"'wigga',",-10
jugs,-100,"'wiggas',",-10
junglebunny,-100,"'dhimmi',",-10
kaffer,-100,"'dhimmis',",-10
kaffir,-100,"'honkey',",-10
kaffre,-100,"'honkies',",-10
kafir,-100,"'eurotrash',",-10
kanake,-100,"'eurotrashes',",-10
kid,-100,"'yardie',",-10
kigger,-100,"'yardies',",-10
killed,-100,"'trailer park trash',",-10
killer,-100,"'trailer park trashes',",-10
killing,-100,"'niggah',",-10
kills,-100,"'niggahes',",-10
kink,-100,"'yokel',",-10
kissass,-100,"'yokels',",-10
knife,-100,"'nigguh',",-10
knockers,-100,"'nigguhes',",-10
kock,-100,"'camel jockey',",-10
kondum,-100,"'camel jockies',",-10
koon,-100,"'honkie',",-10
kotex,-100,"'niglet',",-10
krap,-100,"'niglets',",-10
krappy,-100,"'gyppo',",-10
kum,-100,"'gyppos',",-10
kumbubble,-100,"'dyke',",-10
kumbullbe,-100,"'dykes',",-10
kummer,-100,"'half breed',",-10
kumming,-100,"'honky',",-10
kumquat,-100,"'race traitor',",-10
kums,-100,"'race traitors',",-10
kunilingus,-100,"'jiggaboo',",-10
kunnilingus,-100,"'jiggaboos',",-10
kunt,-100,"'Chinaman',",-10
ky,-100,"'Chinamans',",-10
lactate,-100,"'curry muncher',",-10
laid,-100,"'curry munchers',",-10
lapdance,-100,"'jungle bunny',",-10
latin,-100,"'jungle bunnies',",-10
lesbain,-100,"'coon ass',",-10
lesbayn,-100,"'coon asses',",-10
lesbian,-100,"'newfie',",-10
lesbin,-100,"'newfies',",-10
lezbe,-100,"'house nigger',",-10
lezbefriends,-100,"'house niggers',",-10
lezz,-100,"'limey',",-10
lezzo,-100,"'limies',",-10
liberal,-100,"'red bone',",-10
libido,-100,"'red bones',",-10
licker,-100,"'guala',",-10
lickme,-100,"'gualas',",-10
lies,-100,"'plastic paddy',",-10
limey,-100,"'plastic paddies',",-10
limpdick,-100,"'whigger',",-10
limy,-100,"'whiggers',",-10
lingerie,-100,"'jigaboo',",-10
liquor,-100,"'jigaboos',",-10
livesex,-100,"'nig',",-10
loadedgun,-100,"'nigs',",-10
lolita,-100,"'Zionazi',",-10
looser,-100,"'Zionazis',",-10
loser,-100,"'spear chucker',",-10
lotion,-100,"'spear chuckers',",-10
lovebone,-100,"'niggress',",-10
lovegoo,-100,"'niggresses',",-10
lovegun,-100,"'yobbo',",-10
lovejuice,-100,"'yobbos',",-10
lovemuscle,-100,"'border jumper',",-10
lovepistol,-100,"'border jumpers',",-10
loverocket,-100,"'sperg',",-10
lowlife,-100,"'spergs',",-10
lsd,-100,"'pommy',",-10
lubejob,-100,"'pommies',",-10
lucifer,-100,"'munter',",-10
luckycammeltoe,-100,"'munters',",-10
lugan,-100,"'tar baby',",-10
lynch,-100,"'tar babies',",-10
macaca,-100,"'pommie',",-10
mad,-100,"'gyp',",-10
mafia,-100,"'gyps',",-10
magicwand,-100,"'anchor baby',",-10
manhater,-100,"'anchor babies',",-10
manpaste,-100,"'twat',",-10
marijuana,-100,"'twats',",-10
mastabate,-100,"'border hopper',",-10
mastabater,-100,"'border hoppers',",-10
masterblaster,-100,"'queer',",-10
mastrabator,-100,"'queers',",-10
mattressprincess,-100,"'darky',",-10
meatbeatter,-100,"'ching chong',",-10
meatrack,-100,"'ching chongs',",-10
mexican,-100,"'khazar',",-10
mgger,-100,"'khazars',",-10
mggor,-100,"'gippo',",-10
mickeyfinn,-100,"'gippos',",-10
mideast,-100,"'skanger',",-10
milf,-100,"'skangers',",-10
minority,-100,"'beaner',",-10
mockey,-100,"'beaners',",-10
mockie,-100,"'quadroon',",-10
mocky,-100,"'quadroons',",-10
moky,-100,"'gator bait',",-10
moles,-100,"'gator baits',",-10
molestation,-100,"'Cushite',",-10
molester,-100,"'Cushites',",-10
molestor,-100,"'mud shark',",-10
moneyshot,-100,"'mud sharks',",-10
mooncricket,-100,"'cracker',",-10
mormon,-100,"'crackers',",-10
moslem,-100,"'dune coon',",-10
mosshead,-100,"'dune coons',",-10
mothafuck,-100,"'pickaninny',",-10
mothafucka,-100,"'pickaninnies',",-10
mothafuckaz,-100,"'slant eye',",-10
mothafucked,-100,"'slant eyes',",-10
mothafucker,-100,"'sideways vagina',",-10
mothafuckin,-100,"'sideways vaginas',",-10
mothafucking,-100,"'hick',",-10
mothafuckings,-100,"'hicks',",-10
motherfuck,-100,"'camel fucker',",-10
motherfucked,-100,"'camel fuckers',",-10
motherfuckin,-100,"'redneck',",-10
motherfuckings,-100,"'rednecks',",-10
motherlovebone,-100,"'spiv',",-10
muffdive,-100,"'spivs',",-10
muffindiver,-100,"'zipperhead',",-10
mufflikcer,-100,"'zipperheads',",-10
mulatto,-100,"'Kushite',",-10
muncher,-100,"'Kushites',",-10
munt,-100,"'Shylock',",-10
murderer,-100,"'Shylocks',",-10
muslim,-100,"'gook',",-10
narcotic,-100,"'gooks',",-10
nasty,-100,"'papist',",-10
nastybitch,-100,"'papists',",-10
nastyho,-100,"'hymie',",-10
nastyslut,-100,"'hymies',",-10
nastywhore,-100,"'wog',",-10
necro,-100,"'wogs',",-10
negroes,-100,"'scally',",-10
negroid,-100,"'scallies',",-10
negro's,-100,"'coon',",-10
nig,-100,"'coons',",-10
niger,-100,"'whitey',",-10
nigerian,-100,"'whities',",-10
nigerians,-100,"'nigette',",-10
nigg,-100,"'nigettes',",-10
niggaracci,-100,"'paki',",-10
niggard,-100,"'pakis',",-10
niggarded,-100,"'towel head',",-10
niggarding,-100,"'towel heads',",-10
niggardliness,-100,"'Argie',",-10
niggardliness's,-100,"'Argies',",-10
niggardly,-100,"'wexican',",-10
niggards,-100,"'wexicans',",-10
niggard's,-100,"'jigger',",-10
niggerhead,-100,"'jiggers',",-10
niggerhole,-100,"'injun',",-10
nigger's,-100,"'injuns',",-10
niggled,-100,"'ocker',",-10
niggles,-100,"'ockers',",-10
niggling,-100,"'polack',",-10
nigglings,-100,"'polacks',",-10
niggor,-100,"'moulie',",-10
niggur,-100,"'moulies',",-10
nignog,-100,"'niggor',",-10
nigr,-100,"'niggors',",-10
nigra,-100,"'scanger',",-10
nigre,-100,"'scangers',",-10
nip,-100,"'ofay',",-10
nipplering,-100,"'ofaies',",-10
nittit,-100,"'jigga',",-10
nlgger,-100,"'jiggas',",-10
nlggor,-100,"'redskin',",-10
nofuckingway,-100,"'redskins',",-10
nook,-100,"'chonky',",-10
nookey,-100,"'chonkies',",-10
